                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.19,                 4.3298,                 4.4385,                0.00194,                    0.7,                0.00683,                0.00207,                 2.9058,                 5.4429,                 4.1588,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.8494,                 4.2194,                  4.289,                0.00194,                    0.7,                0.00792,                0.00176,                 2.9049,                 5.4434,                 4.1586,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.1341,                 4.1799,                 4.3813,                0.00194,                    0.7,                0.01028,                0.00225,                  2.904,                 5.4427,                  4.158,             0.00015366,             0.00015366,             0.00015366
                      4,                 3.1557,                 4.2401,                 4.3251,                0.00194,                    0.7,                 0.0054,                0.00137,                 2.9036,                 5.4409,                 4.1573,             0.00020693,             0.00020693,             0.00020693
                      5,                 2.9563,                 4.0862,                 4.2795,                0.00194,                    0.7,                 0.0036,                0.00107,                 2.9037,                 5.4364,                 4.1563,             0.00025782,             0.00025782,             0.00025782
                      6,                 3.1162,                 4.0851,                 4.2225,                0.00194,                    0.7,                0.00658,                0.00155,                 2.9039,                 5.4307,                 4.1556,             0.00030634,             0.00030634,             0.00030634
                      7,                  2.904,                 3.9884,                 4.1703,                0.00194,                    0.7,                0.00549,                0.00237,                 2.9045,                 5.4162,                 4.1546,             0.00035248,             0.00035248,             0.00035248
                      8,                 2.9117,                  4.091,                 4.1727,                0.00194,                    0.7,                0.00587,                0.00259,                 2.9048,                 5.4063,                 4.1542,             0.00039624,             0.00039624,             0.00039624
                      9,                 3.1075,                  3.931,                 4.1358,                0.00194,                    0.7,                0.00554,                0.00184,                 2.9047,                 5.3889,                 4.1533,             0.00043763,             0.00043763,             0.00043763
                     10,                 2.9006,                 3.8635,                 4.1187,                0.00194,                    0.7,                0.00418,                0.00162,                  2.904,                 5.3827,                 4.1527,             0.00047664,             0.00047664,             0.00047664
                     11,                 3.0013,                 3.7808,                 4.0774,                0.00194,                    0.7,                0.00359,                0.00146,                 2.9011,                 5.3629,                 4.1515,             0.00051328,             0.00051328,             0.00051328
                     12,                 2.7674,                 3.5707,                 3.9937,                0.00194,                    0.7,                 0.0033,                0.00129,                 2.8994,                 5.3408,                 4.1514,             0.00054754,             0.00054754,             0.00054754
                     13,                 3.1396,                 3.8217,                 3.9975,                0.00194,                    0.7,                0.00356,                0.00148,                 2.8953,                 5.2818,                 4.1533,             0.00057942,             0.00057942,             0.00057942
                     14,                 2.8967,                  3.786,                  3.926,                0.00194,                    0.7,                0.00401,                0.00154,                 2.8937,                 5.2352,                 4.1567,             0.00060893,             0.00060893,             0.00060893
                     15,                 2.8424,                 3.6235,                 3.9049,                0.00194,                    0.7,                0.00359,                0.00131,                 2.8935,                 5.1388,                  4.169,             0.00063606,             0.00063606,             0.00063606
                     16,                 2.8881,                 3.4033,                 3.8262,                0.00194,                    0.7,                0.00315,                0.00127,                 2.8928,                 5.1048,                 4.1768,             0.00066082,             0.00066082,             0.00066082
                     17,                 2.8265,                 3.1486,                 3.7943,                0.00194,                    0.7,                 0.0033,                0.00133,                 2.8851,                 5.0365,                 4.1879,              0.0006832,              0.0006832,              0.0006832
                     18,                 2.8887,                 3.4547,                 3.7752,                0.00194,                    0.7,                0.00423,                0.00169,                  2.882,                 5.0027,                 4.1942,              0.0007032,              0.0007032,              0.0007032
                     19,                 2.9571,                 3.2437,                 3.7487,                0.00194,                    0.7,                 0.0043,                0.00132,                 2.8806,                 4.8996,                 4.2028,             0.00072083,             0.00072083,             0.00072083
                     20,                 2.8089,                  3.073,                  3.622,                0.00194,                    0.7,                0.00299,                0.00111,                 2.8795,                 4.7495,                 4.2181,             0.00073608,             0.00073608,             0.00073608
                     21,                  2.737,                 2.9934,                 3.5377,                0.00194,                    0.7,                  0.003,                0.00113,                 2.8706,                 4.6476,                 4.2078,             0.00074896,             0.00074896,             0.00074896
                     22,                 2.6554,                 2.7666,                 3.5204,                0.00194,                    0.7,                0.00322,                 0.0012,                 2.8524,                 4.6059,                 4.1773,             0.00075946,             0.00075946,             0.00075946
                     23,                 2.5433,                 2.6441,                 3.4119,                0.00194,                    0.7,                 0.0034,                0.00131,                 2.8064,                 4.5914,                 4.0851,             0.00076758,             0.00076758,             0.00076758
                     24,                 2.4754,                 2.5708,                 3.3242,                0.00194,                    0.7,                0.00423,                0.00163,                 2.7629,                  4.593,                 3.9156,             0.00077333,             0.00077333,             0.00077333
                     25,                  2.632,                 2.8278,                 3.5141,                0.00194,                    0.7,                0.00568,                0.00263,                 2.7017,                 4.4811,                 3.6851,              0.0007767,              0.0007767,              0.0007767
                     26,                 2.5311,                  2.491,                 3.3997,                0.00194,                    0.7,                0.00578,                0.00277,                 2.7021,                 4.2741,                 3.4387,              0.0007777,              0.0007777,              0.0007777
                     27,                 2.7824,                 2.5418,                 3.4338,                0.00194,                    0.7,                 0.0079,                0.00344,                 2.7805,                 4.2602,                 3.3382,             0.00077632,             0.00077632,             0.00077632
                     28,                 2.4513,                 2.2899,                 3.1737,                0.00194,                    0.7,                0.03212,                0.01412,                 2.8564,                 4.1966,                 3.3149,             0.00077256,             0.00077256,             0.00077256
                     29,                   2.45,                 2.6866,                 3.1755,                0.00194,                    0.7,                0.03212,                0.01412,                 2.8564,                 4.1966,                 3.3149,             0.00076643,             0.00076643,             0.00076643
                     30,                 2.5657,                 2.6882,                  3.165,                0.68144,                0.21773,                0.29301,                 0.1488,                 2.7306,                  3.966,                 3.1483,             0.00075792,             0.00075792,             0.00075792
                     31,                  2.592,                 2.3809,                 3.2232,                0.95162,                    0.4,                0.50086,                0.32065,                 2.2785,                 3.7627,                 2.8606,             0.00074704,             0.00074704,             0.00074704
                     32,                 2.4511,                 2.3302,                 3.1925,                0.17747,                    0.6,                0.46261,                0.23783,                   2.26,                 4.0132,                 2.9942,             0.00073378,             0.00073378,             0.00073378
                     33,                 2.3614,                 2.1706,                  3.033,                0.17747,                    0.6,                0.46261,                0.23783,                   2.26,                 4.0132,                 2.9942,             0.00071814,             0.00071814,             0.00071814
                     34,                 2.2648,                 2.2367,                 2.9705,                0.42139,                    0.3,                0.40349,                0.18151,                 2.2066,                   4.17,                  2.998,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.4588,                 2.1795,                 3.0177,                 0.3717,                    0.5,                0.41281,                0.19625,                 1.9552,                 3.9103,                 2.7666,              0.0006932,              0.0006932,              0.0006932
                     36,                  2.216,                  2.266,                 2.9463,                0.28973,                0.53144,                0.22769,                0.08729,                 1.8202,                 3.9908,                 2.6383,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.3574,                 2.0633,                 3.0491,                0.28973,                0.53144,                0.22769,                0.08729,                 1.8202,                 3.9908,                 2.6383,               0.000614,               0.000614,               0.000614
                     38,                 2.3959,                 2.1877,                  3.038,                 0.1551,                    0.5,                0.14015,                0.04819,                 1.8791,                 4.2343,                 2.7193,              0.0005744,              0.0005744,              0.0005744
                     39,                  2.296,                 2.3212,                 3.0005,                0.13288,                    0.3,                0.11744,                 0.0318,                 1.8823,                 4.5601,                 2.8103,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.0605,                 2.0363,                 2.7921,                0.16809,                    0.3,                0.12998,                0.03911,                  1.743,                 4.4265,                  2.721,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.7579,                 2.5553,                 2.5559,                0.16809,                    0.3,                0.12998,                0.03911,                  1.743,                 4.4265,                  2.721,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.7866,                 2.5827,                 2.7314,                0.22564,                0.61229,                0.22355,                0.10821,                  1.513,                 3.8698,                 2.5133,               0.000416,               0.000416,               0.000416
                     43,                 1.7103,                 2.6248,                 2.5462,                0.33946,                    0.7,                0.40028,                0.25612,                 1.4013,                 3.6278,                 2.4281,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.7075,                 2.6046,                 2.5983,                0.47511,                    0.7,                0.50509,                  0.325,                 1.3944,                 3.5348,                 2.3643,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.8019,                 2.6049,                 2.6553,                0.47511,                    0.7,                0.50509,                  0.325,                 1.3944,                 3.5348,                 2.3643,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.7255,                 2.5582,                 2.5356,                0.62001,                    0.6,                0.49332,                0.30999,                 1.5023,                 3.5646,                 2.3518,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6333,                 2.5023,                 2.4464,                0.62177,                    0.6,                0.49637,                 0.2784,                 1.6177,                 3.5661,                 2.4192,               0.000218,               0.000218,               0.000218
                     48,                 1.5125,                 2.4151,                 2.3597,                 0.6327,                    0.6,                0.54259,                0.29015,                 1.6452,                 3.4797,                  2.441,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.6425,                 2.4848,                  2.374,                 0.6327,                    0.6,                0.54259,                0.29015,                 1.6452,                 3.4797,                  2.441,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.5812,                 2.4463,                 2.3616,                0.62401,                0.66603,                0.57139,                0.32605,                 1.5749,                 3.2659,                 2.3886,               9.92e-05,               9.92e-05,               9.92e-05
